,YEAR,MONTH,DAY
1149,1914,2,22
1150,1914,2,23
1151,1914,2,24
1152,1914,2,25
1153,1914,2,26
1154,1914,2,27
1155,1914,2,28
1156,1914,3,1
1157,1914,3,2
1158,1914,3,3
1159,1914,3,4
1160,1914,3,5
1161,1914,3,6
1162,1914,3,7
1163,1914,3,8
1164,1914,3,9
1165,1914,3,10
1166,1914,3,11
1167,1914,3,12
1168,1914,3,13
1169,1914,3,14
1170,1914,3,15
1171,1914,3,16
1172,1914,3,17
1173,1914,3,18
1174,1914,3,19
1175,1914,3,20
1176,1914,3,21
1177,1914,3,22
1178,1914,3,23
1179,1914,3,24
1180,1914,3,25
1181,1914,3,26
1182,1914,3,27
1183,1914,3,28
1184,1914,3,29
1185,1914,3,30
1186,1914,3,31
1187,1914,4,1
1188,1914,4,2
1189,1914,4,3
1190,1914,4,4
1191,1914,4,5
1192,1914,4,6
1193,1914,4,7
1194,1914,4,8
1195,1914,4,9
1196,1914,4,10
1197,1914,4,11
1198,1914,4,12
1199,1914,4,13
1200,1914,4,14
1201,1914,4,15
1202,1914,4,16
1203,1914,4,17
1204,1914,4,18
1205,1914,4,19
1206,1914,4,20
1207,1914,4,21
1208,1914,4,22
1209,1914,4,23
1210,1914,4,24
1211,1914,4,25
1212,1914,4,26
1213,1914,4,27
1214,1914,4,28
1215,1914,4,29
1216,1914,4,30
1217,1914,5,1
1218,1914,5,2
1219,1914,5,3
1220,1914,5,4
1221,1914,5,5
1222,1914,5,6
1223,1914,5,7
1224,1914,5,8
1225,1914,5,9
1226,1914,5,10
1227,1914,5,11
1228,1914,5,12
1229,1914,5,13
1230,1914,5,14
1231,1914,5,15
1232,1914,5,16
1233,1914,5,17
1234,1914,5,18
1235,1914,5,19
1236,1914,5,20
1237,1914,5,21
1238,1914,5,22
1239,1914,5,23
1240,1914,5,24
1241,1914,5,25
1242,1914,5,26
1243,1914,5,27
1244,1914,5,28
1245,1914,5,29
1246,1914,5,30
1247,1914,5,31
1248,1914,6,1
1249,1914,6,2
1250,1914,6,3
1251,1914,6,4
1252,1914,6,5
1253,1914,6,6
1254,1914,6,7
1255,1914,6,8
1256,1914,6,9
1257,1914,6,10
1258,1914,6,11
